KODE,TANAMAN,SATUAN,KOMODITAS,SEKTOR
6402,DAUN KAYU PUTIH,kg,PUNGUTAN HASIL HUTAN,KEHUTANAN
6403,GETAH DAMAR,kg,PUNGUTAN HASIL HUTAN,KEHUTANAN
6404,GETAH GAHARU,kg,PUNGUTAN HASIL HUTAN,KEHUTANAN
6405,KARET,kg,PUNGUTAN HASIL HUTAN,KEHUTANAN
6406,GETAH PINUS,kg,PUNGUTAN HASIL HUTAN,KEHUTANAN
6407,KAYU BAKAR,m3,PUNGUTAN HASIL HUTAN,KEHUTANAN
6408,MADU,liter,PUNGUTAN HASIL HUTAN,KEHUTANAN
6409,PEMUNGUTAN BAMBU,batang,PUNGUTAN HASIL HUTAN,KEHUTANAN
6410,PEMUNGUTAN GETAH,-,PUNGUTAN HASIL HUTAN,KEHUTANAN
6411,PEMUNGUTAN KAYU,m3,PUNGUTAN HASIL HUTAN,KEHUTANAN
6412,PEMUNGUTAN ROTAN,Lajar,PUNGUTAN HASIL HUTAN,KEHUTANAN
6413,SARANG BURUNG,kg,PUNGUTAN HASIL HUTAN,KEHUTANAN
6499,LAINNYA,-,PUNGUTAN HASIL HUTAN,KEHUTANAN
