cocok,status,labels,et,perc
61,IRRIGATED,VILLAGES/COUNTRYSIDE,0.51853894,51.85
61,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.440356679708333,44.0416666666667
62,IRRIGATED,URBAN,0.90716286,90.7
62,IRRIGATED,VILLAGES/COUNTRYSIDE,0.7345690175,73.4607142857143
62,NON-IRRIGATED,URBAN,0.556293775,55.6
62,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.599429927272727,59.9424242424242
63,IRRIGATED,URBAN,0.301614551333333,30.1666666666667
63,IRRIGATED,VILLAGES/COUNTRYSIDE,0.67895613,67.9
63,NON-IRRIGATED,URBAN,0.762695484,76.2633333333333
63,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.64633187,64.6285714285714
64,IRRIGATED,URBAN,0.78667681,78.7
64,IRRIGATED,VILLAGES/COUNTRYSIDE,0.72347864,72.3333333333333
64,NON-IRRIGATED,URBAN,0.78288195,78.3
64,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.60571493175,60.5625
71,IRRIGATED,URBAN,0.424947151666667,42.5166666666667
71,IRRIGATED,VILLAGES/COUNTRYSIDE,0.541962193809524,54.2
71,NON-IRRIGATED,URBAN,0.90440196,90.4
71,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.715751397142857,71.5714285714286
72,IRRIGATED,URBAN,0.767922585,76.8166666666667
72,IRRIGATED,VILLAGES/COUNTRYSIDE,0.645430048172043,64.5376344086021
72,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.779130171304348,77.9217391304348
73,IRRIGATED,URBAN,0.774741894347826,77.4652173913043
73,IRRIGATED,VILLAGES/COUNTRYSIDE,0.783525590357143,78.3607142857143
73,NON-IRRIGATED,URBAN,0.810132393571429,81.0071428571429
73,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.738282434756098,73.8341463414634
74,IRRIGATED,URBAN,0.90027857,90
74,IRRIGATED,VILLAGES/COUNTRYSIDE,0.733081719795918,73.3122448979592
74,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.661725555454545,66.1727272727273
75,IRRIGATED,URBAN,0.419215503333333,41.9
75,IRRIGATED,VILLAGES/COUNTRYSIDE,0.539465686666667,53.9444444444444
75,NON-IRRIGATED,URBAN,0.644573764,64.46
75,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.3524068804,35.24
76,IRRIGATED,URBAN,0.870252761666667,87.0333333333333
76,IRRIGATED,VILLAGES/COUNTRYSIDE,0.6893408225,68.9375
76,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.855171963333333,85.5166666666667
81,IRRIGATED,VILLAGES/COUNTRYSIDE,0.608133395,60.8
81,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.62866009,62.9
82,IRRIGATED,VILLAGES/COUNTRYSIDE,0.618741955641026,61.8769230769231
82,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.720830644642857,72.0714285714286
91,IRRIGATED,VILLAGES/COUNTRYSIDE,0.438090463333333,43.8222222222222
91,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.491171175,49.15
94,IRRIGATED,VILLAGES/COUNTRYSIDE,0.49676464,49.6875
94,NON-IRRIGATED,VILLAGES/COUNTRYSIDE,0.430148864153846,43.0230769230769
61,IRRIGATED,URBAN,,
81,IRRIGATED,URBAN,,
82,IRRIGATED,URBAN,,
91,IRRIGATED,URBAN,,
94,IRRIGATED,URBAN,,
21,NON-IRRIGATED,URBAN,,
61,NON-IRRIGATED,URBAN,,
72,NON-IRRIGATED,URBAN,,
74,NON-IRRIGATED,URBAN,,
76,NON-IRRIGATED,URBAN,,
81,NON-IRRIGATED,URBAN,,
82,NON-IRRIGATED,URBAN,,
91,NON-IRRIGATED,URBAN,,
94,NON-IRRIGATED,URBAN,,
21,IRRIGATED,VILLAGES/COUNTRYSIDE,,
31,IRRIGATED,VILLAGES/COUNTRYSIDE,,
