Y,X1,X2,X3,X4,Z1,Z2,Z3,Z4,Z5,Z6,Z7
7.13568734702814,8.29404964010203,2.19722457733622,3.49650756146648,3.51749783735832,60,6,0,1,1,0,0
4.39444915467244,5.99146454710798,0.693147180559945,1.38629436111989,1.75785791755237,78,1,0,1,0,1,0
7.13009851012558,8.29404964010203,2.19722457733622,3.49650756146648,3.51749783735832,28,6,0,1,1,0,0
6.69208374250663,8.07090608878782,1.94591014905531,3.25809653802148,2.96527306606928,60,6,0,1,1,0,0
6.91075078796194,8.13153071060425,1.94591014905531,3.3322045101752,3.25037449192757,35,13,0,1,1,0,0
6.88755257166462,8.1886891244442,2.07944154167984,3.36729582998647,3.26575941076705,49,12,0,1,1,0,0
5.77144112313002,6.95654544315157,1.09861228866811,2.19722457733622,2.14006616349627,50,6,0,1,1,0,0
4.35670882668959,5.85793315448346,0.693147180559945,1.09861228866811,1.33500106673234,11,6,0,1,1,0,0
4.38202663467388,5.99146454710798,0.693147180559945,1.38629436111989,1.75785791755237,60,6,0,1,1,0,0
7.35372233039963,8.51719319141624,2.19722457733622,3.71357206670431,3.3322045101752,73,6,0,1,1,0,0
6.39692965521615,8.00636756765025,3.61091791264422,3.04452243772342,2.98568193770049,35,9,0,1,0,0,0
5.99893656194668,7.7007477945118,3.25809653802148,1.79175946922806,3.00568260440716,44,9,0,1,0,1,1
7.2034055210831,9.21034037197618,4.45434729625351,3.25809653802148,3.48737507790321,49,6,0,1,0,1,0
6.78445706263764,8.51719319141624,4.18965474202643,3.04452243772342,3.1904763503465,60,6,0,1,0,0,0
6.35610766069589,8.51719319141624,3.43398720448515,2.83321334405622,2.92852352386054,60,6,0,1,0,0,0
6.32435896238131,8.07090608878782,3.58351893845611,3.04452243772342,3.34990408727461,38,9,0,1,0,1,1
6.66568371778241,8.41183267575841,3.43398720448515,2.77258872223978,2.89037175789616,45,6,0,1,0,0,0
6.8134445995109,8.55641390456952,3.8286413964891,3.04452243772342,3.40452517175483,50,6,0,1,0,1,0
