PROP,TAHUN,KONVERSI,POP,RASIO.LAHAN,PROTAS,RASIO.INDU,GABAH,RASIO.PDRB
KALIMANTAN BARAT,2019,87154,5045.7,1.64942602863408,29.23,1.22973947664522,4523.09,0.200914447325006
KALIMANTAN TENGAH,2015,-18732,2497.3,1.28163084567071,35.07,1.42681792821276,5790.36,0.23001279181324
KALIMANTAN TENGAH,2016,-2031,2536.3,1.26840513269668,29.01,1.3305852362098,6174.29,0.219100270615449
KALIMANTAN TENGAH,2017,-14748,2574.8,1.17236731145545,31.51,1.24918296783972,5539.93,0.209621911188472
KALIMANTAN TENGAH,2018,6974,2612.6,1.2177814533958,34.88,1.271996324374,5314.91,0.199724418537543
KALIMANTAN TENGAH,2019,-50092,2649.8,0.891586271566671,30.35,1.34039240112115,5496.67,0.20079175719446
KALIMANTAN SELATAN,2015,18715,3990.7,11.6185558468964,41.87,1.10532258064516,5950.21,0.150004377772589
KALIMANTAN SELATAN,2016,3969,4049.5,11.7209969071524,42.26,1.05117445618097,5757.6,0.149182011089055
KALIMANTAN SELATAN,2017,-6203,4106.8,11.5608956482036,43.02,1.00958563896998,5449.2,0.145633386757173
KALIMANTAN SELATAN,2018,-194946,4162.4,6.52928190855774,41.09,1.01565549603422,5116.91,0.142459402157452
KALIMANTAN SELATAN,2019,37744,4216.3,7.50346567734086,37.69,1.04879038805001,5468.16,0.143100831865661
KALIMANTAN TIMUR,2015,1602,3431.3,0.442306393038511,41.2,0.374805284717014,4708.51,0.0771700933469279
KALIMANTAN TIMUR,2016,-582,3479.6,0.437797094586177,38,0.398656759074021,6415,0.0822335324634491
KALIMANTAN TIMUR,2017,2920,3527.1,0.4604210662027,42.39,0.421253624804818,4769.44,0.0797630692866906
KALIMANTAN TIMUR,2018,-23026,3573.8,0.282017103722542,40.45,0.435040599625234,4876.78,0.0789112177989265
KALIMANTAN TIMUR,2019,5007,3619.7,0.320811016696491,36.41,0.446624499806377,5339.9,0.0795426679744973
KALIMANTAN UTARA,2015,-327,644.5,0.284201055550918,27.27,1.72117570639818,5202,0.171721590356761
KALIMANTAN UTARA,2016,-928,657.3,0.271904404135809,26.75,1.72450805008945,4717,0.175161261015717
KALIMANTAN UTARA,2017,-2331,670,0.241017017876522,31.62,1.63470557582074,4764,0.163113560732113
KALIMANTAN UTARA,2018,-3924,682.8,0.189021263401429,32.88,1.70307082714215,5000,0.160773357958597
KALIMANTAN UTARA,2019,-2343,695.6,0.15797486871867,32.4,1.72482541112863,5329,0.158667495596311
SULAWESI UTARA,2015,-4650,2409.7,4.03020869730949,49.05,2.29205797101449,3904.81,0.216893774822812
SULAWESI UTARA,2016,4737,2432.2,4.37218986343855,50,2.41353383458647,4149.01,0.217163778180154
SULAWESI UTARA,2017,-676,2453.7,4.32338697800405,47.93,2.29977693725148,3845.11,0.215343679904102
SULAWESI UTARA,2018,-7650,2474.4,3.77110580407807,46.47,2.2887832525825,4270.29,0.209491854442613
SULAWESI UTARA,2019,-5193,2494.1,3.38622289628842,44.79,2.38784140969163,4586.67,0.208273455931513
SULAWESI TENGAH,2015,-12434,2878,2.08621133226684,48.57,3.2176740627391,4190.48,0.312755059355043
SULAWESI TENGAH,2016,3475,2919.8,2.14240356240952,48.26,2.49319489266171,3927.27,0.296075981004749
SULAWESI TENGAH,2017,4052,2961.1,2.20792612831977,47.08,2.34707696028052,4037.5,0.289829863158916
SULAWESI TENGAH,2018,-16871,3001.9,1.93511487228032,46.05,1.19481672394044,4687.32,0.249635027761823
SULAWESI TENGAH,2019,-2842,3042.1,1.88915852175787,45.4,1.03479576399395,4257,0.232001722838376
SULAWESI SELATAN,2015,5009,8520.8,13.4456738676829,52.41,1.66734391534392,4188.93,0.231446282205705
SULAWESI SELATAN,2016,21042,8598.6,13.8960834360072,50.72,1.66635230209178,4118.82,0.234269137039954
SULAWESI SELATAN,2017,-2579,8674.4,13.8408792597546,50.93,1.67296210551968,4040.78,0.231262692859274
SULAWESI SELATAN,2018,-5154,8748.1,13.7305565283059,50.21,1.75120703867571,4491.33,0.225427968166315
SULAWESI SELATAN,2019,13361,8819.5,14.0165522626649,50.03,1.62062684410188,4437.28,0.213465233452503
SULAWESI TENGGARA,2015,6986,2502.7,2.72703630636997,47.07,4.03522879571128,3991.57,0.240280912967143
SULAWESI TENGGARA,2016,6042,2543.1,2.88575353908957,40.16,3.97991561181435,3890,0.243115624516728
SULAWESI TENGGARA,2017,-1388,2583.4,2.84929218208613,41.51,3.92430218446602,3969.77,0.240814350744254
SULAWESI TENGGARA,2018,-28556,2623.6,2.09915492661758,39.43,3.8869350185465,4207.25,0.239635122430484
SULAWESI TENGGARA,2019,2207,2663.7,2.15713058577219,39.27,3.70525679758308,4028.05,0.237268330431418
GORONTALO,2015,-62,1133.6,2.84745497718323,55.51,8.85222502099076,4773,0.370020706840277
GORONTALO,2016,695,1144.8,2.90919395544311,52.1,8.8448275862069,5183,0.372231686541738
GORONTALO,2017,-68,1155.6,2.90315330721049,45.36,9.29016277423921,3971,0.380074121257745
GORONTALO,2018,-3614,1166.1,2.58211062025909,47.6,9.40645161290323,3763,0.386419654925658
GORONTALO,2019,3989,1176.4,2.93646570555216,47.18,9.12706552706553,4325,0.389306112528861
SULAWESI BARAT,2015,-1020,1281.7,3.65111948522623,49.41,4.07023214810461,4342.41,0.419879956347763
SULAWESI BARAT,2016,2379,1301.4,3.79283477034261,45.18,4.35143023934618,4321.46,0.414744748921964
SULAWESI BARAT,2017,561,1320.9,3.82625312887573,47.37,4.16984490211035,4152.52,0.415221409220953
SULAWESI BARAT,2018,-22016,1340.1,2.51477615656709,48.46,4.34218009478673,4609.03,0.421648488195499
SULAWESI BARAT,2019,-2731,1359.2,2.35209248962601,47.96,4.26535136333407,4627.86,0.414980804900142
MALUKU,2015,-125,1690.3,0.285500947158025,55.72,4.54281009879254,4031,0.240988761427823
MALUKU,2016,960,1710.4,0.305963908877579,46.11,4.42471235617809,4463,0.238705672801857
MALUKU,2017,2378,1730.2,0.356652370303724,40.69,4.46682352941177,4871,0.238002106213329
MALUKU,2018,-3072,1749.5,0.291170892801151,40.01,4.36359687228497,5381.25,0.233349594629126
MALUKU,2019,4623,1768.5,0.389712842831878,37.82,4.50355202674467,4839.53,0.23350594760904
MALUKU UTARA,2015,1285,1167.1,0.368983037598687,35.11,4.87260677466863,6338,0.248404534874991
MALUKU UTARA,2016,1267,1184.5,0.40859845227859,32.54,4.6343949044586,7010,0.24959692634901
MALUKU UTARA,2017,153,1201.7,0.413382318455405,30.58,3.72254335260116,6980,0.239457131348186
MALUKU UTARA,2018,-4180,1218.8,0.28268584382084,36.57,3.04807692307692,5206.9,0.226000164523294
MALUKU UTARA,2019,4501,1235.7,0.423419057296959,32.43,3.08729595457771,5047.62,0.219171180249402
PAPUA BARAT,2015,606,876,0.102265810241089,42.12,0.378363414904219,5187.5,0.108669380485943
PAPUA BARAT,2016,487,897.6,0.107151854544769,43.71,0.414539873813449,5041.67,0.109453557653345
PAPUA BARAT,2017,660,919.4,0.110145048596403,44.05,0.424675185224954,5400,0.110188616164712
PAPUA BARAT,2018,-7101,941.4,0.0411732681657984,32.15,0.390046350484573,5500,0.104601669910227
PAPUA BARAT,2019,4621,963.6,0.0860568898204704,41.63,0.412398673544584,5550,0.106144125561601
PAPUA,2015,5921,3153.8,0.152847930508167,43.95,6.05814657783162,6838,0.133087614016646
PAPUA,2016,3116,3203.4,0.162614851832575,46.26,5.88781431334623,7000,0.123019011714172
PAPUA,2017,1663,3252.2,0.167827428906545,49.09,5.60800604229607,6650,0.11789581767564
PAPUA,2018,-32045,3300.2,0.0673842344775771,42.57,5.56039325842697,6285.71,0.112791487219909
PAPUA,2019,14697,3347.1,0.113451128798767,43.48,5.61602787456446,6027.27,0.127575708006395
