day,price,sub_category,main_category
2017-09-28,11300,Beras,Beras
2017-09-29,11300,Beras,Beras
2017-10-02,11300,Beras,Beras
2017-10-03,11300,Beras,Beras
2017-10-04,11300,Beras,Beras
2017-10-05,11300,Beras,Beras
2017-10-06,11350,Beras,Beras
2017-10-09,11350,Beras,Beras
2017-10-10,11350,Beras,Beras
2017-10-11,11350,Beras,Beras
2017-10-12,11350,Beras,Beras
2017-10-13,11350,Beras,Beras
2017-10-16,11350,Beras,Beras
2017-10-17,11350,Beras,Beras
2017-10-18,11350,Beras,Beras
2017-10-19,11350,Beras,Beras
2017-10-20,11350,Beras,Beras
2017-10-23,11350,Beras,Beras
2017-10-24,11350,Beras,Beras
2017-10-25,11350,Beras,Beras
2017-10-26,11400,Beras,Beras
2017-10-27,11350,Beras,Beras
2017-10-30,11400,Beras,Beras
2017-10-31,11400,Beras,Beras
2017-11-01,11400,Beras,Beras
2017-11-02,11400,Beras,Beras
2017-11-03,11400,Beras,Beras
2017-11-06,11400,Beras,Beras
2017-11-07,11450,Beras,Beras
2017-11-08,11350,Beras,Beras
2017-11-09,11400,Beras,Beras
2017-11-10,11400,Beras,Beras
2017-11-13,11400,Beras,Beras
2017-11-14,11400,Beras,Beras
2017-11-15,11400,Beras,Beras
2017-11-16,11400,Beras,Beras
2017-11-17,11400,Beras,Beras
2017-11-20,11400,Beras,Beras
2017-11-21,11450,Beras,Beras
2017-11-22,11450,Beras,Beras
2017-11-23,11400,Beras,Beras
2017-11-24,11450,Beras,Beras
2017-11-27,11450,Beras,Beras
2017-11-28,11450,Beras,Beras
2017-11-29,11450,Beras,Beras
2017-11-30,11450,Beras,Beras
2017-12-01,10750,Beras,Beras
2017-12-04,11500,Beras,Beras
2017-12-05,11500,Beras,Beras
2017-12-06,11500,Beras,Beras
2017-12-07,11500,Beras,Beras
2017-12-08,11500,Beras,Beras
2017-12-11,11500,Beras,Beras
2017-12-12,11500,Beras,Beras
2017-12-13,11550,Beras,Beras
2017-12-14,11550,Beras,Beras
2017-12-15,11550,Beras,Beras
2017-12-18,11550,Beras,Beras
2017-12-19,11600,Beras,Beras
2017-12-20,11600,Beras,Beras
2017-12-21,11600,Beras,Beras
2017-12-22,11550,Beras,Beras
2017-12-27,11650,Beras,Beras
2017-12-28,11700,Beras,Beras
2017-12-29,11700,Beras,Beras
2017-01-03,10100,Beras Kualitas Bawah 1,Beras
2017-01-04,10100,Beras Kualitas Bawah 1,Beras
2017-01-05,10100,Beras Kualitas Bawah 1,Beras
2017-01-06,10050,Beras Kualitas Bawah 1,Beras
