Y,X1,X2,X3,X4,Z1,Z2,Z3,Z4,Z5,Z6,Z7
7.2034055210831,8.51719319141624,4.39444915467244,3.43398720448515,4.17130560335823,43,12,0,1,1,0,0
6.86693328446188,7.60090245954208,2.70805020110221,2.83321334405622,3.92197333628131,55,6,0,1,0,0,0
5.85793315448346,8.51719319141624,4.83628190695148,2.77258872223978,4.31748811353631,40,6,0,1,1,0,0
5.39362754635236,8.51719319141624,3.73766961828337,1.94591014905531,2.63905732961526,47,6,0,1,1,0,0
5.29831736654804,7.60090245954208,4.56434819146784,2.39789527279837,3.49650756146648,45,9,0,1,1,0,0
6.02344759296103,8.51719319141624,4.33073334028633,2.39789527279837,4.11087386417331,64,1,0,1,1,0,0
6.08221891037645,8.51719319141624,4.04305126783455,2.83321334405622,3.66356164612965,47,6,0,1,1,0,0
5.19295685089021,7.82404601085629,5.30330490805908,2.39789527279837,4.44265125649032,45,6,0,1,1,0,0
7.3132203870903,9.21034037197618,4.61512051684126,3.71357206670431,4.30406509320417,52,1,0,1,1,0,0
6.16331480403464,9.21034037197618,5.01727983681492,4.11087386417331,4.8283137373023,47,6,0,1,1,0,0
4.75359019110636,7.60090245954208,5.30330490805908,3.13549421592915,4.36944785246702,45,1,0,0,1,0,0
5.16478597392351,8.51719319141624,5.01727983681492,3.43398720448515,4.86753445045558,47,6,0,1,1,0,0
7.08170858610558,8.1886891244442,4.11087386417331,3.04452243772342,4.00733318523247,63,1,0,1,0,0,0
6.92755790627832,7.90100705199242,3.93182563272433,2.83321334405622,3.44998754583159,32,6,0,1,0,0,0
6.74523634948436,8.12415060330663,3.93182563272433,3.43398720448515,4.40671924726425,58,6,0,1,0,0,0
7.38709023565676,8.41183267575841,0,2.77258872223978,3.66356164612965,38,6,0,1,0,0,0
7.33302301438648,8.41183267575841,0,3.2188758248682,4.36309862478836,69,6,0,1,0,0,0
6.74523634948436,7.61332497954064,0,2.63905732961526,3.61091791264422,40,6,0,1,0,0,0
8.02617019494643,8.41183267575841,0,3.25809653802148,4.49980967033027,32,6,0,0,0,0,0
7.53369370984863,8.41183267575841,0,2.39789527279837,3.46573590279973,34,1,0,1,0,0,0
7.04925484125584,8.38366179879172,3.13549421592915,2.89037175789616,3.69386699562498,45,1,0,0,1,0,0
7.23417717974985,8.9226582995244,0,3.43398720448515,3.83514196109219,47,1,0,0,0,1,0
6.44571981938558,7.53636393840451,0,4.00733318523247,4.30271282795416,54,6,0,1,0,1,0
6.69703424766648,8.0471895621705,0,4.11087386417331,4.47619980469113,37,1,0,0,0,1,0
6.35610766069589,8.38366179879172,0,3.43398720448515,4.03953632572711,54,1,0,1,0,1,0
5.88610403145016,7.82404601085629,0,2.56494935746154,3.22684399451738,29,1,0,0,0,0,0
6.60665018619822,8.0471895621705,0,2.94443897916644,3.84374416467485,26,6,0,1,0,1,0
6.69703424766648,8.22951111896446,0,3.04452243772342,3.90600493310258,44,6,0,1,0,1,0
6.80239476332431,8.38366179879172,0,2.77258872223978,3.33932197794407,60,1,0,1,0,1,0
6.80239476332431,8.0471895621705,0,2.94443897916644,4.17284762371004,49,1,0,0,0,1,0
4.68213122712422,6.47697236288968,0,2.39789527279837,3.23867845216438,50,6,0,1,0,0,0
6.5792512120101,7.82404601085629,0,3.2188758248682,3.83729945923221,52,9,0,1,1,0,0
6.80239476332431,8.00636756765025,0,2.83321334405622,3.85439389259151,67,6,0,1,1,0,0
